entity_id	valid	rejected	polled	electors	ITAK	EDF	ELMS	DNA	IG1D	IG2D	IG3D	IG4D	IG5D	IG6D	IG7D	IG8D	IG9D	UPFA	AITC	AITUF	UNP	UNAF	UDF	USP	JSP	TMVP	PERLF	MLF	LLF	SLNF	SMBP	IG1T	IG2T	IG3T	IG4T	IG5T	IG6T	IG7T	IG8T	IG9T	DPLF	IG1B	IG2B	IG3B	IG4B	IG5B	IG6B	IG7B	IG8B	IG9B	ONF	OWORS	TULF	EPDP	IG1V	DUA	IG9V	IG2V	IG6V	IG3V	IG4V	IG5V	IG7V	IG8V	IG9J	IG2J	IG4J	IG1J	IG3J	IG5J	IG6J	IG7J	IG8J	SEP	IG1P	IG7P	PNF	ELPP	IG2P	IG6P	IG8P	IG9P	IG3P	IG4P	IG5P	SLLP	NSU	UPF	IG1N	IG5N	IG3N	IG2N	IG4N	IG6N	IG9N	IG7N	IG8N	IG2M	IG3M	RJP	IG1M	IG4M	NPP	IG1H	OWO	IG4H	IG2H	IG3H	IG8M	IG5M	IG9M	IG6M	IG7M	IG1R	IG5R	IG2R	IG3R	IG4R	IG6R	IG7R	IG8R	IG9R	TLP	CDUA	IG3C	IG6C	IG8C	IG1C	IG7C	IG2C	IG9C	IG4C	IG5C	MNA	IG1K	IG3K	IG2K	IG4K	IG6K	IG9K	IG5K	IG7K	IG8K	IG6G	IG2G	IG7G	IG3G	IG4G	IG1G	IG5G	IG6A	IG1A	IG7A	IG5A	IG2A	IG3A	IG4A	IG9G	IG8G	OWOS	JS	J	OORS
LK-4312030	586.0	60.0	647.0	1503.0	231.0	11.0		3.0										183.0			48.0				0.0	0.0			0.0	0.0	1.0										56.0										1.0		8.0	19.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																			
LK-7118050	586.0	36.0	622.0	1116.0			0.0	58.0										386.0			140.0	0.0	0.0		0.0				0.0	0.0	1.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-1218150	586.0	40.0	627.0	961.0			0.0	46.0										291.0			247.0	0.0	0.0		0.0					1.0																						0.0																									0.0									0.0																																																										0.0	2.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-9112025	586.0	48.0	635.0	997.0			0.0	16.0										393.0			175.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-3315240	586.0	22.0	608.0	927.0			0.0	46.0										392.0			146.0	0.0	0.0	0.0	0.0				0.0	0.0																					0.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-1306170	586.0	60.0	646.0	995.0			0.0	49.0										376.0			159.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1227205	586.0	30.0	617.0	972.0			0.0	45.0										411.0			128.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-7109050	585.0	44.0	629.0	1218.0			0.0	26.0										421.0			135.0	0.0	0.0		1.0				0.0	0.0	0.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-7166090	585.0	51.0	636.0	1094.0			0.0	19.0										252.0			161.0	0.0	0.0		0.0				0.0	1.0	150.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-9227065	585.0	57.0	642.0	1032.0			0.0	8.0										376.0			198.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-3136215	585.0	29.0	614.0	1048.0			0.0	40.0										406.0			137.0	0.0	0.0	0.0	0.0					0.0	0.0																																											0.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-2112145	585.0	72.0	658.0	1098.0			0.0	21.0										334.0			226.0	0.0			0.0			0.0	0.0	2.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-8218070	585.0	42.0	627.0	1301.0				29.0										436.0			115.0	0.0	0.0	0.0	0.0				0.0	1.0	0.0																				1.0																										0.0																					0.0	0.0	0.0	0.0	0.0																																																													
LK-6160240	585.0	50.0	636.0	1081.0			0.0	25.0										368.0			191.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-8103025	585.0	31.0	616.0	1062.0			0.0	30.0										371.0			181.0	0.0	0.0		0.0						0.0											0.0	0.0	0.0	1.0	0.0																																								0.0		0.0												0.0			0.0																																																												
LK-2157090	585.0	49.0	634.0	976.0			0.0	13.0										437.0			134.0	0.0			0.0			0.0	0.0	0.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-1330125	585.0	68.0	654.0	1033.0			0.0	31.0										372.0			179.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-3115110	585.0	36.0	621.0	938.0			0.0	27.0										399.0			155.0	0.0	0.0	1.0	0.0					0.0	0.0																																											0.0																															0.0																																							0.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-3118065	585.0	36.0	622.0	939.0			0.0	27.0										399.0			156.0	0.0	0.0	1.0	0.0					0.0	0.0																																											0.0																															0.0																																							0.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-1321230	585.0	58.0	643.0	1025.0			0.0	54.0										367.0			162.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-9112200	585.0	48.0	633.0	995.0			0.0	16.0										392.0			175.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-3333150	585.0	22.0	607.0	926.0			0.0	46.0										392.0			145.0	0.0	0.0	0.0	0.0				0.0	0.0																					0.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-1233025	585.0	28.0	613.0	949.0			0.0	50.0										390.0			144.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-3303015	585.0	24.0	610.0	920.0			0.0	37.0										334.0			213.0	0.0	0.0	0.0	0.0				0.0	0.0																					0.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-4203160	584.0	45.0	629.0	1769.0	311.0	2.0		0.0										154.0			65.0				0.0	0.0			0.0	0.0	0.0										20.0										1.0		5.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																			
LK-8127220	584.0	41.0	625.0	980.0			0.0	28.0										355.0			185.0	0.0	0.0		0.0						0.0											0.0	0.0	0.0	4.0	0.0																																								0.0		10.0												0.0			0.0																																																												
LK-6136065	584.0	49.0	633.0	1137.0			0.0	21.0										406.0			155.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-3227135	584.0	27.0	611.0	1088.0				32.0										404.0			144.0		0.0	0.0	0.0	0.0			0.0	2.0	0.0																				1.0																										0.0									0.0												0.0	0.0		0.0	0.0	0.0							0.0													0.0																																								
LK-3330130	584.0	24.0	608.0	925.0			0.0	41.0										389.0			151.0	0.0	0.0	0.0	0.0				0.0	0.0																					1.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-3145180	584.0	24.0	608.0	1005.0			0.0	48.0										379.0			155.0	0.0	0.0	0.0	0.0					0.0	0.0																																											0.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-2154015	584.0	49.0	633.0	974.0			0.0	13.0										436.0			133.0	0.0			0.0			0.0	0.0	0.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-9103220	584.0	43.0	627.0	988.0			0.0	11.0										412.0			158.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-1209330	584.0	39.0	623.0	968.0			0.0	28.0										378.0			175.0	0.0	0.0		0.0					1.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-7148120	584.0	40.0	624.0	1113.0			0.0	25.0										414.0			142.0	0.0	0.0		0.0				0.0	0.0	1.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-1230015	584.0	32.0	616.0	944.0			0.0	34.0										420.0			129.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1233160	584.0	28.0	612.0	947.0			0.0	49.0										389.0			143.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1136090	584.0	25.0	609.0	903.0			0.0	82.0										365.0			133.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0	0.0	0.0																					0.0			0.0	1.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
LK-4136010	583.0	60.0	645.0	3728.0	272.0	5.0		1.0										200.0	40.0		35.0			1.0	1.0	0.0	5.0		3.0																							0.0	7.0			2.0									0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0																																																																																									
LK-2145300	583.0	80.0	663.0	1090.0			0.0	12.0										349.0			220.0	0.0			0.0			0.0	0.0	1.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-2136230	583.0	52.0	635.0	1039.0			0.0	27.0										357.0			197.0	0.0			0.0			0.0	0.0	0.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-7115105	583.0	35.0	618.0	1110.0			0.0	57.0										384.0			139.0	0.0	0.0		0.0				0.0	0.0	1.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-3330305	583.0	24.0	607.0	923.0			0.0	41.0										388.0			151.0	0.0	0.0	0.0	0.0				0.0	0.0																					1.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-3142080	583.0	24.0	607.0	1004.0			0.0	48.0										379.0			155.0	0.0	0.0	0.0	0.0					0.0	0.0																																											0.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-3121125	583.0	36.0	619.0	935.0			0.0	27.0										398.0			155.0	0.0	0.0	1.0	0.0					0.0	0.0																																											0.0																															0.0																																							0.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-1230010	583.0	32.0	615.0	943.0			0.0	34.0										420.0			128.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1309015	583.0	55.0	639.0	974.0			0.0	36.0										395.0			149.0	0.0	0.0		0.0				0.0	1.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-9151085	583.0	36.0	619.0	1045.0			0.0	28.0										408.0			144.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				1.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-1233075	583.0	28.0	610.0	945.0			0.0	49.0										388.0			143.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-2312160	583.0	80.0	664.0	986.0			0.0	6.0										290.0			237.0	0.0	0.0	1.0	0.0				0.0	0.0	0.0																																											0.0			0.0									0.0		44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																		
LK-3109200	582.0	25.0	608.0	1018.0			0.0	31.0										414.0			132.0	0.0	0.0	0.0	0.0					2.0	0.0																																											0.0																															0.0																																							0.0	0.0	1.0	0.0	0.0	0.0	0.0													
LK-1312120	582.0	78.0	661.0	1014.0			0.0	21.0										399.0			159.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-2136405	582.0	52.0	634.0	1038.0			0.0	27.0										356.0			197.0	0.0			0.0			0.0	0.0	0.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-6175055	582.0	43.0	625.0	1056.0			0.0	14.0										351.0			215.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-3112210	582.0	31.0	613.0	1015.0			0.0	33.0										394.0			151.0	0.0	0.0	0.0	0.0					1.0	0.0																																											0.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-9142190	582.0	55.0	637.0	1015.0			0.0	11.0										392.0			177.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-1321065	582.0	58.0	640.0	1021.0			0.0	53.0										366.0			161.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1321200	582.0	58.0	640.0	1021.0			0.0	53.0										366.0			161.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-5242160	582.0	0.0	0.0	0.0	110.0	1.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0	251.0			209.0	0.0	0.0		0.0	7.0		0.0	0.0	0.0	0.0																				0.0																																			0.0																																																																													
LK-7210120	582.0	52.0	634.0	998.0			0.0	19.0										397.0			165.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0																				0.0																								0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0															0.0			0.0																																																												
LK-1136035	582.0	25.0	608.0	900.0			0.0	82.0										364.0			133.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0	0.0	0.0																					0.0			0.0	1.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
LK-9209125	581.0	40.0	621.0	1057.0			0.0	21.0										406.0			152.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-8118145	581.0	58.0	639.0	1060.0			0.0	12.0										324.0			207.0	1.0	0.0		0.0						0.0											0.0	0.0	0.0	1.0	1.0																																								0.0		35.0												0.0			0.0																																																												
LK-6163145	581.0	57.0	639.0	1114.0			0.0	21.0										342.0			216.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-5321085	581.0	47.0	629.0	1141.0	54.0			24.0										376.0	1.0	0.0	115.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																											
LK-5324045	581.0	47.0	628.0	1140.0	54.0			24.0										376.0	1.0	0.0	114.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																											
LK-3248065	581.0	22.0	603.0	1111.0				46.0										390.0			142.0		0.0	1.0	0.0	0.0			0.0	1.0	0.0																				0.0																										0.0									0.0												0.0	0.0		0.0	0.0	0.0							0.0													0.0																																								
LK-9227145	581.0	57.0	637.0	1024.0			0.0	8.0										374.0			196.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-3154205	581.0	34.0	615.0	1073.0			0.0	40.0										389.0			150.0	0.0	0.0	0.0	0.0					0.0	0.0																																											0.0																															0.0																																							0.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-6239180	581.0	43.0	624.0	1128.0			0.0	30.0										373.0			174.0	0.0	0.0		0.0				0.0	1.0	0.0																					0.0																							0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																												
LK-4309160	581.0	59.0	642.0	1489.0	229.0	11.0		3.0										181.0			48.0				0.0	0.0			0.0	0.0	1.0										55.0										1.0		8.0	19.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																			
LK-6154255	581.0	38.0	619.0	1029.0			0.0	33.0										341.0			204.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-3215010	581.0	27.0	607.0	1072.0				38.0										378.0			162.0		0.0	0.0	0.0	0.0			0.0	1.0	0.0																				0.0																										0.0									0.0												0.0	0.0		0.0	0.0	0.0							1.0													0.0																																								
LK-6172010	581.0	41.0	623.0	1088.0			0.0	21.0										339.0			220.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-6178015	581.0	41.0	622.0	1012.0			0.0	22.0										364.0			194.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-6127145	581.0	53.0	634.0	1148.0			0.0	28.0										406.0			141.0		0.0		0.0				0.0	3.0	0.0																				0.0																										0.0	1.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1321330	581.0	58.0	639.0	1019.0			0.0	53.0										365.0			160.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1309085	581.0	54.0	636.0	970.0			0.0	36.0										393.0			148.0	0.0	0.0		0.0				0.0	1.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1227630	581.0	30.0	611.0	963.0			0.0	45.0										408.0			127.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1224135	581.0	27.0	609.0	928.0			0.0	50.0										405.0			125.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-3312150	581.0	24.0	605.0	913.0			0.0	37.0										331.0			211.0	0.0	0.0	0.0	0.0				0.0	0.0																					0.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-8115065	580.0	49.0	629.0	1102.0			0.0	16.0										388.0			161.0	1.0	0.0		0.0						2.0											0.0	0.0	0.0	2.0	0.0																																								0.0		10.0												0.0			0.0																																																												
LK-7109065	580.0	44.0	625.0	1209.0			0.0	25.0										418.0			134.0	0.0	0.0		1.0				0.0	0.0	0.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-7109070	580.0	44.0	624.0	1207.0			0.0	25.0										418.0			134.0	0.0	0.0		1.0				0.0	0.0	0.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-2227170	580.0	50.0	631.0	1010.0			0.0	11.0										434.0			132.0	0.0	0.0		0.0				0.0	0.0	0.0																				1.0	0.0																									0.0									0.0												0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0																																																		
LK-9227055	580.0	57.0	637.0	1024.0			0.0	8.0										373.0			196.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-7206200	580.0	52.0	632.0	1033.0			0.0	17.0										382.0			179.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0																				0.0																								0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0															0.0			0.0																																																												
LK-9206090	580.0	40.0	620.0	1104.0			0.0	21.0										352.0			206.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-2139415	580.0	53.0	633.0	1016.0			0.0	26.0										346.0			206.0	0.0			0.0			0.0	0.0	0.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-2127195	580.0	61.0	641.0	1095.0			0.0	35.0										332.0			208.0	0.0			0.0			0.0	0.0	3.0	0.0																																														0.0									0.0												0.0	0.0		0.0	0.0							0.0	0.0	0.0	0.0	0.0											0.0																																							
LK-8103065	580.0	31.0	611.0	1052.0			0.0	30.0										368.0			180.0	0.0	0.0		0.0						0.0											0.0	0.0	0.0	1.0	0.0																																								0.0		0.0												0.0			0.0																																																												
LK-3224050	580.0	27.0	606.0	1070.0				38.0										377.0			161.0		0.0	0.0	0.0	0.0			0.0	1.0	0.0																				0.0																										0.0									0.0												0.0	0.0		0.0	0.0	0.0							1.0													0.0																																								
LK-1327090	580.0	67.0	648.0	1025.0			0.0	31.0										369.0			178.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-6218150	580.0	43.0	624.0	1091.0			0.0	18.0										384.0			177.0	0.0	0.0		0.0				0.0	1.0	0.0																					0.0																							0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																												
LK-3121050	580.0	36.0	617.0	932.0			0.0	27.0										396.0			154.0	0.0	0.0	1.0	0.0					0.0	0.0																																											0.0																															0.0																																							0.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-9112030	580.0	48.0	627.0	985.0			0.0	16.0										388.0			173.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-1227710	580.0	30.0	610.0	961.0			0.0	45.0										407.0			127.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1136345	580.0	25.0	606.0	898.0			0.0	82.0										363.0			133.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0	0.0	0.0																					0.0			0.0	1.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
LK-3106080	579.0	28.0	607.0	1086.0			0.0	41.0										376.0			158.0	0.0	0.0	1.0	0.0					1.0	0.0																																											1.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-3106130	579.0	28.0	607.0	1086.0			0.0	41.0										377.0			158.0	0.0	0.0	1.0	0.0					1.0	0.0																																											1.0																															0.0																																							1.0	0.0	0.0	0.0	0.0	0.0	0.0													
LK-6163215	579.0	57.0	637.0	1110.0			0.0	21.0										341.0			215.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-9133150	579.0	54.0	634.0	950.0			0.0	9.0										432.0			136.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																				0.0																										0.0									0.0																												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
LK-9215225	579.0	40.0	619.0	1050.0			0.0	24.0										399.0			153.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
LK-7209140	579.0	51.0	631.0	1031.0			0.0	17.0										382.0			179.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0																				0.0																								0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0															0.0			0.0																																																												
LK-5306100	579.0	46.0	626.0	1156.0	274.0			7.0										146.0	13.0	1.0	116.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0																																																																																																																											
LK-3330080	579.0	24.0	603.0	917.0			0.0	41.0										386.0			150.0	0.0	0.0	0.0	0.0				0.0	0.0																					1.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-6178350	579.0	40.0	620.0	1009.0			0.0	22.0										362.0			193.0		0.0		0.0				0.0	0.0	0.0																				0.0																										0.0	0.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-1327035	579.0	67.0	647.0	1023.0			0.0	31.0										368.0			177.0	0.0	0.0		0.0				0.0	0.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-7148150	579.0	40.0	619.0	1105.0			0.0	25.0										411.0			141.0	0.0	0.0		0.0				0.0	0.0	1.0																																														0.0									0.0																			0.0																																														0.0	0.0	0.0	0.0	0.0	0.0	0.0						
LK-1310030	579.0	54.0	634.0	966.0			0.0	36.0										392.0			147.0	0.0	0.0		0.0				0.0	1.0	0.0																				0.0	0.0																									0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-3333125	579.0	21.0	600.0	916.0			0.0	46.0										388.0			144.0	0.0	0.0	0.0	0.0				0.0	0.0																					0.0																										0.0									0.0																	0.0	0.0	0.0	0.0	0.0	0.0																																																							
LK-1215005	579.0	29.0	608.0	947.0			0.0	41.0										384.0			151.0	0.0	0.0		0.0					0.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-5215110	579.0	0.0	0.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	355.0			205.0	0.0	0.0		0.0	0.0				0.0																					0.0																																																																																																																
LK-9212295	578.0	35.0	613.0	1054.0			0.0	32.0										401.0			143.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0																																														0.0									0.0																																																	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0																				
