entity_id	valid	rejected	polled	electors	SLMC	ITAK	UNP	UPFA	RJP	IP1D	UMPA	EPDP	SMBP	NLF	IP6D	IP5D	JHU	IP2D	IP4D	IP3D	USP	S	DPLF	IP9D	IP7D	IP8D	SLPF	JSP	SLNF	ULF	;P7D	SLMK	UPF	CDUA	TLP	IP1-ED	IP2-ED	IP3-ED	IP4-ED	NPP	DUNF	;P4D	SEP
LK-1218155	1850.0	75.0	1925.0	2507.0			928.0	773.0	0.0	0.0			0.0	3.0	0.0	0.0	123.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	13.0	0.0			0.0			0.0						1.0		
LK-2303395	1847.0	112.0	1958.0	2505.0			978.0	615.0	0.0				0.0	0.0			23.0				6.0	0.0					0.0	1.0	0.0				161.0	60.0	1.0	0.0	0.0	0.0	1.0				
LK-2315265	1847.0	140.0	1987.0	2463.0			1032.0	267.0	1.0				0.0	1.0			27.0				10.0	0.0					0.0	4.0	0.0				427.0	75.0	1.0	0.0	0.0	0.0	1.0				
LK-2312170	1846.0	140.0	1985.0	2460.0			1031.0	267.0	1.0				0.0	1.0			27.0				10.0	0.0					0.0	4.0	0.0				427.0	75.0	1.0	0.0	0.0	0.0	1.0				
LK-1133190	1844.0	66.0	1910.0	2457.0			724.0	819.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	285.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								2.0			1.0
LK-1218120	1843.0	75.0	1919.0	2498.0			925.0	770.0	0.0	0.0			0.0	3.0	0.0	0.0	123.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	13.0	0.0			0.0			0.0						1.0		
LK-1133105	1840.0	66.0	1906.0	2453.0			723.0	818.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	284.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								2.0			1.0
LK-9221095	1838.0	113.0	1951.0	2520.0			784.0	973.0	0.0	0.0	1.0		0.0	2.0	0.0	0.0	69.0	0.0		0.0	2.0			0.0	0.0	0.0	0.0	3.0	0.0			2.0			0.0							0.0	
LK-6203030	1836.0	162.0	2000.0	3003.0			1144.0	670.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	1.0		0.0		0.0	0.0	5.0	0.0	0.0	0.0	0.0											
LK-9112235	1836.0	98.0	1935.0	2442.0			744.0	938.0	0.0	0.0			0.0	2.0	1.0	0.0	141.0	0.0	0.0	0.0	2.0	1.0			1.0		0.0	4.0	0.0	3.0													
LK-1136105	1836.0	50.0	1886.0	2448.0			469.0	819.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	532.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-1109075	1836.0	58.0	1894.0	2511.0			573.0	927.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	323.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								2.0			0.0
LK-9206085	1834.0	99.0	1933.0	2641.0			905.0	808.0	0.0	0.0	3.0		0.0	1.0	0.0	0.0	109.0	0.0		0.0	2.0			0.0	0.0	0.0	0.0	3.0	0.0			0.0			0.0							0.0	
LK-3242085	1833.0	64.0	1898.0	2520.0			625.0	1059.0		0.0			0.0	2.0	0.0	0.0	138.0	0.0	0.0	0.0	5.0	0.0			1.0		0.0	3.0	0.0						0.0								
LK-1133180	1833.0	66.0	1899.0	2444.0			720.0	815.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	283.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								2.0			1.0
LK-9112120	1825.0	98.0	1923.0	2426.0			739.0	932.0	0.0	0.0			0.0	2.0	1.0	0.0	140.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	4.0	0.0	3.0													
LK-1112205	1822.0	66.0	1888.0	2539.0			545.0	930.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	334.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								3.0			0.0
LK-3139180	1821.0	83.0	1904.0	2615.0			879.0	774.0	0.0	0.0			0.0	4.0	0.0	0.0	155.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	2.0													
LK-1324250	1820.0	100.0	1920.0	2487.0			776.0	862.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	173.0	0.0	0.0	0.0	2.0	0.0		1.0	0.0	1.0	0.0		0.0	1.0											0.0		
LK-2112180	1819.0	170.0	1989.0	2778.0			1048.0	642.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	118.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0	3.0	0.0	0.0		0.0											
LK-8121090	1814.0	110.0	1924.0	2598.0			877.0	837.0	0.0	0.0			0.0	1.0	0.0	0.0	88.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0		2.0													
LK-9118030	1814.0	126.0	1940.0	2474.0			803.0	929.0	0.0	0.0			0.0	2.0	1.0	1.0	69.0	0.0	0.0	0.0	3.0	0.0			1.0		0.0	3.0	0.0	2.0													
LK-4309090	1811.0	156.0	1967.0	3218.0		1125.0	344.0	151.0	0.0	0.0		16.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	5.0		158.0	4.0	0.0	0.0																	
LK-1233355	1811.0	72.0	1884.0	2467.0			566.0	996.0	0.0	0.0			1.0	2.0	0.0	0.0	234.0	0.0	0.0	0.0	4.0	0.0		0.0	0.0	0.0	0.0	8.0	0.0			0.0			0.0						0.0		
LK-1109020	1810.0	57.0	1867.0	2475.0			565.0	914.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	318.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-8121140	1805.0	109.0	1915.0	2585.0			873.0	833.0	0.0	0.0			0.0	1.0	0.0	0.0	87.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0		2.0													
LK-1218065	1805.0	73.0	1879.0	2446.0			906.0	754.0	0.0	0.0			0.0	3.0	0.0	0.0	120.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	13.0	0.0			0.0			0.0						1.0		
LK-4106075	1804.0	174.0	1978.0	4194.0	1.0	1659.0			0.0	33.0		104.0		2.0			1.0	1.0			3.0	0.0																					
LK-9148165	1804.0	108.0	1911.0	2502.0			630.0	1077.0	0.0	0.0			0.0	2.0	1.0	0.0	84.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0	0.0	2.0													
LK-5203025	1804.0	141.0	1946.0	2641.0	34.0	1.0	629.0	1112.0	0.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0	1.0			0.0	0.0	0.0	0.0	1.0		1.0													
LK-1136245	1802.0	50.0	1852.0	2404.0			461.0	804.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	523.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-1221250	1801.0	64.0	1866.0	2441.0			736.0	913.0	0.0	0.0			0.0	2.0	0.0	0.0	129.0	0.0	0.0	0.0	5.0	0.0		0.0	0.0	0.0	0.0	14.0	0.0			0.0			0.0						0.0		
LK-1239095	1799.0	65.0	1864.0	2437.0			623.0	871.0	0.0	0.0			0.0	1.0	0.0	0.0	289.0	0.0	0.0	0.0	5.0	0.0		0.0	0.0	0.0	0.0	8.0	0.0			0.0			0.0						0.0		
LK-1121180	1799.0	45.0	1844.0	2466.0			466.0	790.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	529.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								3.0			0.0
LK-5203005	1799.0	140.0	1941.0	2634.0	33.0	1.0	627.0	1109.0	0.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0	1.0			0.0	0.0	0.0	0.0	1.0		1.0													
LK-1124055	1797.0	48.0	1845.0	2498.0			661.0	676.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	444.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	5.0	0.0	1.0		0.0								2.0			0.0
LK-1206330	1797.0	72.0	1870.0	2451.0			707.0	926.0	0.0	0.0			1.0	2.0	0.0	0.0	138.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	14.0	0.0			0.0			0.0						0.0		
LK-1136255	1796.0	49.0	1846.0	2395.0			459.0	802.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	521.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-1106075	1795.0	66.0	1861.0	2462.0			684.0	764.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	331.0	0.0	0.0	0.0	2.0	0.0		0.0	1.0	0.0	0.0	4.0	0.0	1.0		0.0								2.0			0.0
LK-1233300	1789.0	71.0	1860.0	2437.0			559.0	984.0	0.0	0.0			1.0	2.0	0.0	0.0	231.0	0.0	0.0	0.0	4.0	0.0		0.0	0.0	0.0	0.0	8.0	0.0			0.0			0.0						0.0		
LK-1109160	1787.0	56.0	1844.0	2443.0			557.0	903.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	314.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-5115035	1786.0	94.0	1881.0	2383.0	331.0	965.0	64.0	383.0	0.0	1.0	5.0	19.0		1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0		12.0		0.0	1.0	1.0	0.0	0.0														
LK-5104030	1784.0	97.0	1881.0	2183.0	561.0	1096.0	34.0	68.0	0.0	1.0	1.0	14.0		1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0		0.0	1.0	2.0	0.0	1.0														
LK-1121120	1784.0	45.0	1829.0	2446.0			462.0	784.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	525.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0								3.0			0.0
LK-3242205	1783.0	62.0	1845.0	2450.0			608.0	1029.0		0.0			0.0	2.0	0.0	0.0	135.0	0.0	0.0	0.0	5.0	0.0			1.0		0.0	3.0	0.0						0.0								
LK-9218100	1783.0	97.0	1880.0	2424.0			814.0	896.0	0.0	0.0	1.0		1.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0			0.0			0.0								
LK-2218155	1780.0	150.0	1931.0	2688.0			926.0	712.0	0.0	1.0			0.0	1.0	2.0	0.0	121.0	0.0	0.0	1.0	10.0	0.0					0.0	3.0	0.0			0.0			1.0					3.0			
LK-1124020	1776.0	47.0	1823.0	2468.0			654.0	668.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	439.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	5.0	0.0	1.0		0.0								2.0			0.0
LK-1239135	1776.0	64.0	1841.0	2406.0			615.0	860.0	0.0	0.0			0.0	1.0	0.0	0.0	285.0	0.0	0.0	0.0	5.0	0.0		0.0	0.0	0.0	0.0	8.0	0.0			0.0			0.0						0.0		
LK-1109030	1776.0	56.0	1832.0	2428.0			554.0	897.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	313.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-1236165	1775.0	91.0	1866.0	2428.0			648.0	779.0	0.0	0.0			0.0	2.0	0.0	0.0	331.0	0.0	0.0	0.0	4.0	1.0		0.0	0.0	0.0	0.0	8.0	0.0			0.0			0.0						0.0		
LK-2312330	1773.0	134.0	1907.0	2363.0			990.0	256.0	1.0				0.0	1.0			26.0				10.0	0.0					0.0	4.0	0.0				410.0	72.0	1.0	0.0	0.0	0.0	1.0				
LK-8121010	1772.0	107.0	1879.0	2537.0			857.0	818.0	0.0	0.0			0.0	1.0	0.0	0.0	86.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0		2.0													
LK-1306095	1772.0	86.0	1858.0	2353.0			616.0	946.0	0.0	0.0	1.0		0.0	2.0	0.0	0.0	203.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-2315240	1770.0	134.0	1903.0	2359.0			988.0	256.0	1.0				0.0	1.0			26.0				10.0	0.0					0.0	4.0	0.0				409.0	72.0	1.0	0.0	0.0	0.0	1.0				
LK-2312090	1768.0	134.0	1902.0	2357.0			987.0	256.0	1.0				0.0	1.0			26.0				10.0	0.0					0.0	4.0	0.0				409.0	72.0	1.0	0.0	0.0	0.0	1.0				
LK-9118125	1767.0	123.0	1890.0	2410.0			782.0	905.0	0.0	0.0			0.0	1.0	1.0	1.0	67.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0	0.0	2.0													
LK-3130050	1765.0	95.0	1860.0	2408.0			557.0	1154.0	0.0	0.0			0.0	1.0	0.0	0.0	46.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0	2.0													
LK-3133045	1765.0	90.0	1855.0	2405.0			655.0	1001.0	0.0	1.0			0.0	4.0	0.0	0.0	96.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	2.0													
LK-2127400	1761.0	120.0	1881.0	2489.0			826.0	796.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	130.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0	0.0	0.0	4.0	0.0	0.0		0.0											
LK-1109025	1761.0	56.0	1817.0	2407.0			549.0	889.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	310.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-6160135	1758.0	93.0	1852.0	2552.0			785.0	847.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	115.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	1.0		0.0			0.0								
LK-1224095	1756.0	69.0	1826.0	2396.0			489.0	1030.0	0.0	0.0			0.0	1.0	0.0	0.0	225.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	6.0	0.0			0.0			0.0						1.0		
LK-1303045	1753.0	76.0	1830.0	2353.0			567.0	842.0	0.0	0.0	1.0		0.0	3.0	0.0	0.0	337.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-1133110	1752.0	63.0	1815.0	2336.0			688.0	779.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	271.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-5248090	1752.0	96.0	1851.0	2270.0	623.0	588.0	106.0	409.0	0.0	0.0	1.0	17.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0			0.0	0.0	0.0	2.0	0.0		0.0													
LK-1236175	1751.0	89.0	1841.0	2395.0			639.0	768.0	0.0	0.0			0.0	2.0	0.0	0.0	327.0	0.0	0.0	0.0	4.0	1.0		0.0	0.0	0.0	0.0	7.0	0.0			0.0			0.0						0.0		
LK-1218215	1749.0	71.0	1821.0	2371.0			878.0	731.0	0.0	0.0			0.0	3.0	0.0	0.0	117.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	12.0	0.0			0.0			0.0						1.0		
LK-1136310	1748.0	48.0	1796.0	2332.0			447.0	780.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	507.0	0.0	0.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-2312125	1748.0	132.0	1880.0	2330.0			976.0	253.0	1.0				0.0	1.0			25.0				10.0	0.0					0.0	4.0	0.0				404.0	71.0	1.0	0.0	0.0	0.0	1.0				
LK-6169060	1747.0	99.0	1847.0	2488.0			781.0	860.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	98.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0			0.0								
LK-1321225	1746.0	90.0	1837.0	2396.0			629.0	910.0	0.0	0.0	1.0		0.0	3.0	0.0	0.0	200.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-5315130	1745.0	80.0	1825.0	2236.0	347.0	1137.0	83.0	161.0	0.0	0.0	1.0	10.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0																							
LK-1221280	1743.0	62.0	1805.0	2362.0			712.0	883.0	0.0	0.0			0.0	2.0	0.0	0.0	125.0	0.0	0.0	0.0	5.0	0.0		0.0	0.0	0.0	0.0	14.0	0.0			0.0			0.0						0.0		
LK-1303065	1742.0	76.0	1818.0	2338.0			563.0	837.0	0.0	0.0	1.0		0.0	3.0	0.0	0.0	335.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-1239145	1740.0	63.0	1803.0	2357.0			603.0	842.0	0.0	0.0			0.0	1.0	0.0	0.0	279.0	0.0	0.0	0.0	5.0	0.0		0.0	0.0	0.0	0.0	7.0	0.0			0.0			0.0						0.0		
LK-9148050	1740.0	104.0	1843.0	2413.0			608.0	1039.0	0.0	0.0			0.0	2.0	1.0	0.0	81.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0	0.0	2.0													
LK-1109015	1736.0	55.0	1791.0	2374.0			542.0	877.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	305.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-2127370	1734.0	118.0	1852.0	2451.0			813.0	784.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	128.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0	0.0	0.0	4.0	0.0	0.0		0.0											
LK-2148030	1733.0	139.0	1872.0	2574.0			949.0	695.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	79.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	1.0	0.0	2.0	0.0	1.0		0.0											
LK-5327150	1732.0	82.0	1814.0	1982.0	1205.0	450.0	18.0	49.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0																							
LK-5315110	1730.0	79.0	1809.0	2217.0	344.0	1127.0	82.0	160.0	0.0	0.0	1.0	10.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0																							
LK-1309035	1730.0	81.0	1811.0	2301.0			637.0	914.0	0.0	0.0	1.0		0.0	2.0	0.0	0.0	171.0	0.0	0.0	0.0	1.0	1.0		1.0	0.0	0.0	0.0		0.0	1.0											0.0		
LK-1133055	1730.0	62.0	1793.0	2307.0			680.0	769.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	267.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
LK-1236085	1725.0	88.0	1813.0	2359.0			630.0	757.0	0.0	0.0			0.0	1.0	0.0	0.0	322.0	0.0	0.0	0.0	4.0	1.0		0.0	0.0	0.0	0.0	7.0	0.0			0.0			0.0						0.0		
LK-1236130	1724.0	88.0	1812.0	2357.0			629.0	756.0	0.0	0.0			0.0	1.0	0.0	0.0	321.0	0.0	0.0	0.0	4.0	1.0		0.0	0.0	0.0	0.0	7.0	0.0			0.0			0.0						0.0		
LK-8142065	1723.0	159.0	1882.0	2503.0			971.0	708.0	0.0	0.0			0.0	1.0	1.0	0.0	29.0	0.0	0.0	0.0	4.0	0.0			2.0		0.0	2.0		3.0													
LK-1112190	1723.0	62.0	1785.0	2401.0			515.0	879.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	315.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								3.0			0.0
LK-5245080	1721.0	95.0	1818.0	2230.0	612.0	578.0	104.0	402.0	0.0	0.0	1.0	17.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0			0.0	0.0	0.0	2.0	0.0		0.0													
LK-5312	1721.0	100.0	1822.0	2618.0	193.0	257.0	428.0	813.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0																							
LK-1203100	1720.0	81.0	1801.0	2515.0			955.0	690.0	0.0	0.0			0.0	4.0	0.0	0.0	50.0	0.0	0.0	0.0	8.0	0.0		0.0	0.0	0.0	0.0	11.0	0.0			0.0			0.0						0.0		
LK-9206080	1719.0	93.0	1812.0	2475.0			849.0	757.0	0.0	0.0	3.0		0.0	1.0	0.0	0.0	102.0	0.0		0.0	2.0			0.0	0.0	0.0	0.0	3.0	0.0			0.0			0.0							0.0	
LK-4309205	1719.0	148.0	1867.0	3055.0		1067.0	327.0	144.0	0.0	0.0		15.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	5.0		150.0	3.0	0.0	0.0																	
LK-2312280	1715.0	130.0	1845.0	2287.0			958.0	248.0	1.0				0.0	1.0			25.0				10.0	0.0					0.0	4.0	0.0				397.0	70.0	1.0	0.0	0.0	0.0	1.0				
LK-2130265	1714.0	90.0	1804.0	2479.0			830.0	644.0	0.0	0.0	1.0		0.0	2.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0	5.0	0.0	0.0		0.0											
LK-1203155	1712.0	80.0	1793.0	2504.0			951.0	687.0	0.0	0.0			0.0	4.0	0.0	0.0	50.0	0.0	0.0	0.0	8.0	0.0		0.0	0.0	0.0	0.0	11.0	0.0			0.0			0.0						0.0		
LK-5106030	1712.0	93.0	1806.0	2096.0	538.0	1052.0	33.0	65.0	0.0	1.0	1.0	14.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0		0.0	1.0	2.0	0.0	1.0														
LK-5327025	1711.0	81.0	1792.0	1958.0	1191.0	445.0	18.0	48.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0																							
LK-5112150	1710.0	90.0	1801.0	2282.0	317.0	924.0	62.0	367.0	0.0	1.0	5.0	18.0		1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0		11.0		0.0	1.0	1.0	0.0	0.0														
LK-2312005	1710.0	129.0	1839.0	2279.0			955.0	247.0	1.0				0.0	1.0			25.0				10.0	0.0					0.0	4.0	0.0				396.0	70.0	1.0	0.0	0.0	0.0	1.0				
LK-9124170	1709.0	108.0	1817.0	2230.0			801.0	824.0	0.0	0.0			0.0	2.0	1.0	0.0	70.0	0.0	0.0	0.0	4.0	0.0			1.0		0.0	2.0	0.0	3.0													
LK-9112190	1709.0	92.0	1801.0	2273.0			693.0	873.0	0.0	0.0			0.0	2.0	1.0	0.0	131.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	3.0	0.0	3.0													
LK-8139110	1708.0	157.0	1865.0	2482.0			963.0	702.0	0.0	0.0			0.0	1.0	1.0	0.0	29.0	0.0	0.0	0.0	4.0	0.0			2.0		0.0	2.0		3.0													
LK-3139060	1708.0	78.0	1786.0	2453.0			824.0	726.0	0.0	0.0			0.0	4.0	0.0	0.0	146.0	0.0	0.0	0.0	2.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	2.0													
LK-1321375	1707.0	88.0	1795.0	2341.0			615.0	889.0	0.0	0.0	1.0		0.0	3.0	0.0	0.0	195.0	0.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-2312250	1706.0	129.0	1835.0	2274.0			953.0	247.0	1.0				0.0	1.0			25.0				10.0	0.0					0.0	4.0	0.0				395.0	70.0	1.0	0.0	0.0	0.0	1.0				
LK-5315140	1704.0	78.0	1782.0	2183.0	338.0	1110.0	81.0	158.0	0.0	0.0	1.0	10.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0																							
LK-9112095	1703.0	91.0	1795.0	2265.0			690.0	870.0	0.0	0.0			0.0	2.0	1.0	0.0	130.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	3.0	0.0	3.0													
LK-9124160	1702.0	108.0	1810.0	2221.0			798.0	821.0	0.0	0.0			0.0	2.0	1.0	0.0	69.0	0.0	0.0	0.0	4.0	0.0			1.0		0.0	2.0	0.0	3.0													
LK-9112220	1700.0	91.0	1792.0	2261.0			689.0	868.0	0.0	0.0			0.0	2.0	1.0	0.0	130.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	3.0	0.0	3.0													
LK-9124075	1699.0	108.0	1807.0	2218.0			797.0	820.0	0.0	0.0			0.0	2.0	1.0	0.0	69.0	0.0	0.0	0.0	4.0	0.0			1.0		0.0	2.0	0.0	3.0													
LK-1218075	1699.0	69.0	1769.0	2302.0			853.0	710.0	0.0	0.0			0.0	3.0	0.0	0.0	113.0	0.0	0.0	0.0	6.0	0.0		0.0	0.0	0.0	0.0	12.0	0.0			0.0			0.0						1.0		
LK-1233210	1699.0	68.0	1767.0	2314.0			531.0	934.0	0.0	0.0			0.0	1.0	0.0	0.0	220.0	0.0	0.0	0.0	3.0	0.0		0.0	0.0	0.0	0.0	7.0	0.0			0.0			0.0						0.0		
LK-1112085	1699.0	62.0	1761.0	2368.0			508.0	867.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	311.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								3.0			0.0
LK-8227025	1696.0	109.0	1805.0	2343.0			600.0	1055.0	0.0	0.0			0.0	1.0	0.0	0.0	33.0	0.0	0.0	0.0	1.0	0.0			0.0		0.0	1.0	0.0	2.0													
LK-1136165	1695.0	47.0	1741.0	2260.0			433.0	756.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	491.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-2312130	1695.0	128.0	1823.0	2260.0			947.0	245.0	1.0				0.0	1.0			25.0				10.0	0.0					0.0	4.0	0.0				392.0	69.0	1.0	0.0	0.0	0.0	1.0				
LK-9118140	1694.0	118.0	1812.0	2311.0			750.0	868.0	0.0	0.0			0.0	1.0	1.0	1.0	64.0	0.0	0.0	0.0	2.0	0.0			1.0		0.0	2.0	0.0	2.0													
LK-1324215	1692.0	93.0	1785.0	2312.0			721.0	801.0	0.0	0.0	2.0		0.0	1.0	0.0	0.0	161.0	0.0	0.0	0.0	2.0	0.0		1.0	0.0	1.0	0.0		0.0	1.0											0.0		
LK-1136130	1692.0	47.0	1739.0	2257.0			432.0	755.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	491.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	4.0	0.0	0.0		0.0								4.0			0.0
LK-1133100	1690.0	61.0	1751.0	2253.0			664.0	751.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	261.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	3.0	0.0	1.0		0.0								2.0			0.0
